,Unnamed: 0,Num,Name,Mv(mean),Class,Number of Points,Num Matches,a,e,i,H,Mean COM Flux,STD COM Flux,Mean COM Flux Error,Mean COM Flux Error STD,SNR,Best Period [Seconds],Best Period [Hours],Best Period [Days],False Alarm Probability,Model Parameters,Max Periodogram Power,Mag Vary
28,64, 17540 ,1993 FX81,17.652, MB>Outer ,3248,0,2.941071101619497,0.1220297544261718,6.621207569509238,13.06,10.885973368751666,5.156735017237119,1.5257446973713658,0.984122267347918,7.13485905440576,19049.77980133632,5.291605500371199,0.2204835625154666,6.770595036774427e-127,[-0.0116183   2.96398371 -0.4559409 ],0.1693152168160587,0.6147433593844714
29,66, 11570 ,1993 LE,16.888, MB>Outer ,2826,49,3.018020649921548,0.0906156589034974,11.9566995590169,12.89,34.97801367927048,6.742227191296214,3.758399957713442,2.292651716196484,9.306623582592476,10720.57924966896,2.9779386804636,0.12408077835265,4.6110977689179017e-181,[-0.06215004  4.78216465 -0.95700497],0.2604969107269254,0.305302637947143
30,73, 48560 ,1993 UX2,17.904, MB>Middle ,2858,0,2.730379884822254,0.1891718503781593,14.42407077771402,14.67,10.190298946489666,4.726537719531339,1.5302860817888602,0.9413968852010286,6.659080983457355,1299976.8846041015,361.104690167806,15.046028756991916,1.0839994762241016e-164,[-0.9583417   2.67988846 -2.1337791 ],0.2380316429142434,0.846117558024507
31,75, 42521 ,1994 BO3,16.959, MB>Outer ,1972,4,3.16726625937367,0.238093126953703,16.60948760790591,13.59,23.907001185091687,6.07163986415419,2.83703766656712,1.6775127914269718,8.426747895109797,603529.2198009092,167.64700550025253,6.985291895843856,9.580386692510875e-91,[-1.1250717   4.33087621  0.82164836],0.1980774357932924,0.42552678159518653
32,78, 37649 ,1994 FC,17.762, MB>Middle ,1987,0,2.522019727125199,0.2583129280404159,13.7530243295426,14.93,13.176448438052647,4.387588176692858,1.929077137934416,0.9908883360038676,6.8304414473345,159971.59531633375,44.43655425453716,1.851523093939048,2.8593812721213014e-57,[-0.19713297  1.88836032  1.22439606],0.1320191533385975,0.380368201026966
33,82, 23552 ,1994 NB,17.2, MB>Inner ,2971,0,2.364536425497723,0.2776431983104162,23.77143223842473,13.68,20.02542799240381,6.687446821912168,2.5909616402970816,1.6046911241920443,7.728955798090348,6531.071534034092,1.8141865372316923,0.0755911057179871,2.5376056547252084e-104,[-0.01483645  3.71083222 -0.22873894],0.1544209528612631,0.4081897443881267
34,94, 8901 ,1995 UJ4,16.4, MB>Outer ,1952,101,3.002024383088229,0.0546036297214056,11.42687455555465,12.04,52.34351466753896,6.871399262875479,6.561804087762448,3.1704111547872444,7.977000527211398,15657.87647630808,4.3494101323078,0.1812254221794916,1.677373962170371e-186,[-0.03828219 -1.82974539  5.5650138 ],0.3620463922864921,0.2442254498595417
35,98, 17618 ,1995 VO,17.521, MB>Outer ,1233,0,3.003011719560001,0.0544643681913822,10.84877798545268,13.04,15.80928979977651,3.905707863687115,2.1478426239496384,1.0984542649568376,7.360543842222957,29714.575020486707,8.254048616801864,0.3439186923667442,1.789747350455284e-36,[-0.03427351  1.88474868  0.82819984],0.1376642453133224,0.2850085090716243
36,101, 18475 ,1995 WM7,17.62, MB>Outer ,1505,0,2.979129837161187,0.1126635635230779,10.04960573521068,13.84,16.041867920623684,4.557171577010119,2.151955969727564,1.2263977741813543,7.454552112724952,6065.513837795718,1.684864954943255,0.0702027064559689,2.681692162680756e-33,[-0.00889165  0.40536863 -2.0551073 ],0.1057433315052333,0.2853328440163984
37,103, 20121 ,1995 WT7,17.9, MB>Middle ,931,0,2.672620261007301,0.1449299477192009,12.68230640463383,13.49,10.1865917989587,4.088457834751099,1.1556504665164933,0.8224718710202112,8.814595843728082,145176.87961787597,40.326911004965545,1.680287958540231,8.687217444721786e-23,[0.04990373 1.87617622 0.50668384],0.1196847144422009,0.4173144850371209
