xcentroid,ycentroid,fwhm,roundness,pa,max_value,flux,mag,frame,psflike,psfdiff,flux_sign,xint,yint,n_detections,objid,source_mask,ra,dec,mjd,GaiaID,Type,Prob
244.449340233703,221.92288701066755,3.139008329218368,0.1598952320054248,101.39042708104058,87.26849106479744,455.10254352238206,-6.645273156853481,21,0.96,0.2453009307778795,1,244,222,817,1,1,164.73342910865807,17.37267179434273,58899.266338502726,3982184417178537472,EB,0.9900000095367432
330.7344326086699,299.70398146307423,2.520888883987187,0.28105743903803965,46.86921987687183,231.56344622755933,1342.1519946277876,-7.819504252865306,22,0.92,0.4204903645503302,1,331,300,653,3,1,165.37955185683828,17.595634376105327,58899.287172122415,0,0,0.0
330.7509113291657,299.7021954363306,2.467821401057017,0.1857969283990691,48.42639259448334,224.4463619029156,1293.74723430257,-7.779623585981388,23,0.92,0.4247632244288338,1,331,300,653,3,1,165.37963963071664,17.595588758721963,58899.308005741645,0,0,0.0
260.6227016195643,457.2603715541497,4.847794584983754,0.2699560507422455,75.55859457126381,59.04945551974913,344.8520282350681,-6.344081961550458,23,0.98,0.2323986071155876,1,261,457,1,17,1,165.32814995168067,18.5825918174488,58899.308005741645,3982029794060780544,0,0.0
258.78678705678425,456.1460460394098,6.313507288212007,0.580177596179513,151.7853576398938,71.6659232247444,467.49611993467636,-6.674445026802345,24,0.99,0.16353956707606404,1,259,456,1,18,1,165.3154795187151,18.58072759247721,58899.32883936134,0,0,0.0
172.45400746539568,17.601943875389235,6.0482700282645725,0.3882054034981989,64.93210776908015,6.494863736456466,63.36414580609794,-4.504608961613325,26,0.91,0.47179004231000204,1,172,18,1,19,0,163.9025975086261,16.446041232400766,58899.370506600724,0,0,0.0
244.5247120405824,222.00160067971214,2.7016929203530697,0.18650626674495518,70.5987067412289,138.6081675587899,680.0303156888319,-7.081320684864496,26,0.96,0.2476663454204261,1,245,222,817,1,1,164.73401574051468,17.372924495266606,58899.370506600724,3982184417178537472,EB,0.9900000095367432
75.2843082200298,288.24356606216486,6.697701788758132,0.23210578621012762,108.25847749177893,10.253548076447231,82.05647888396263,-4.7852821926766005,26,0.95,0.4330732903053838,1,75,288,1,20,1,163.9307901760785,18.090442840206986,58899.370506600724,0,0,0.0
330.7250613026542,299.6847528452491,2.446885020752156,0.18976776840869589,50.7358578568125,196.51338702528173,1128.5472618228387,-7.6312993784482055,26,0.92,0.42703493319942015,1,331,300,653,3,1,165.37945842613496,17.595553264916468,58899.370506600724,0,0,0.0
244.4910305858794,222.0148159658601,2.625957705885046,0.1274977193358844,80.69909114450577,170.4623880142285,817.3411490593338,-7.281008410087725,27,0.97,0.19676080972311244,1,244,222,817,1,1,164.733856571259,17.373067801227315,58899.39134022041,3982184417178537472,EB,0.9900000095367432
110.94654626715422,223.3431242646623,5.908948429661887,0.29516138458137725,114.40538985264195,12.708538806385548,127.07471714795426,-5.260147879229803,27,0.93,0.37476035838848537,1,111,223,198,21,1,163.99293274286018,17.66945343903853,58899.39134022041,0,0,0.0
121.41602784548887,122.02656760517755,7.228017223624391,0.2166182896997284,48.093181653616064,8.471625496596204,62.450614679848265,-4.488841793354748,28,0.96,0.34905785409547935,1,121,122,1,22,1,163.83808831140257,17.109621121765805,58899.41217384011,0,0,0.0
244.50573543302596,222.0596951514954,2.75698964517012,0.12228105540956088,72.17413440933892,181.7225827795645,895.5343479450711,-7.380205619340165,28,0.96,0.2500431194320048,1,245,222,817,1,1,164.7340338489795,17.373273426085373,58899.41217384011,3982184417178537472,EB,0.9900000095367432
110.95512100232554,223.42258158161138,5.322776930118127,0.26458989764119956,109.6663514354755,15.358414460278311,133.6285705267366,-5.314748306568136,28,0.91,0.4151973522184807,1,111,223,198,21,1,163.99314817942957,17.669856272591858,58899.41217384011,0,0,0.0
132.03476959157078,256.1890795101303,4.5451276021694635,0.503061339173065,54.60851715907854,88.3949443518338,573.6036643320572,-6.896529792641815,28,0.89,0.49861917485903784,1,132,256,205,2,1,164.17997862366857,17.7980687902847,58899.41217384011,3982271003719165952,RRAB,0.9929999709129332
73.54486555351309,288.1430458586555,6.64602335068048,0.11385621179408177,156.84666012941503,12.17353309219277,117.83773808703279,-5.1782109939179835,28,0.91,0.45115089702601674,1,74,288,1,23,0,163.9208525051755,18.093655214343823,58899.41217384011,3983045296128152576,0,0.0
330.7348846998999,299.6785279141627,2.6844341883667475,0.11262339468711388,35.92668050760222,182.42944739622004,1079.1382885161095,-7.582692754643247,28,0.92,0.42439048769567006,1,331,300,653,3,1,165.37949965870544,17.59549878354551,58899.41217384011,0,0,0.0
170.4710095633896,18.39040110385437,6.306663286009142,0.021617883343391982,123.70595207882234,7.9611736712098775,98.72177758829326,-4.986032416708647,29,0.92,0.428716502699644,1,170,18,1,24,0,163.89325960008924,16.454492814354417,58899.43300745933,3983848562386808832,0,0.0
111.06428370729455,222.94508055290086,5.435976253130416,0.155426152557932,123.354034577389,12.229577828499998,106.36342175596283,-5.066980750800512,29,0.93,0.3603788174942866,1,111,223,198,21,1,163.99274976360863,17.66708897999028,58899.43300745933,0,0,0.0
131.96400517104445,256.198151631681,4.321866996409408,0.5248575524411344,52.987321061405474,109.76629064528996,691.3338782691228,-7.099219599152517,29,0.92,0.44041099122414884,1,132,256,205,2,1,164.17960298611,17.79826981221164,58899.43300745933,3982271003719165952,RRAB,0.9929999709129332
71.59554132079666,287.9967664853401,6.046155577462258,0.25247801778395285,35.636306520438765,11.3185911824865,111.91868383104469,-5.122256485475967,29,0.94,0.40162167956642614,1,72,288,3,25,1,163.90964437277484,18.097076222135705,58899.43300745933,3983045089969717248,0,0.0
244.500443855706,221.9664062324605,2.74837301506115,0.05108362496291363,88.60133534303935,145.16584254166764,724.5541568220783,-7.150177130936073,30,0.96,0.2461186025759645,1,245,222,817,1,1,164.7338058944187,17.37279097287178,58899.45384107903,3982184417178537472,EB,0.9900000095367432
