,ID in Cut,Num,Name,RA,Dec,Mv,MJD,FrameIDs,X,Y,Flux,Flux Error,COM Flux,COM Flux Error,COM X,COM Y
2721,36091,5254,Ulysses,354.3418996385485,-35.1963949906052,16.2,59103.26586446502,2076.0,23,10,13.000786716314828,1.0093450671586697,57.66075477886832,1.5999906975915497,21.73852008437226,8.693353055462707
2722,28895,5254,Ulysses,353.8164446638514,-35.3304764043452,16.2,59106.73801533724,2576.0,452,16,31.46709532259213,4.121777192452601,57.66045896787485,6.4762061205994845,453.1636374863316,16.307347940215326
2723,29165,5254,Ulysses,353.54086205660207,-35.39183932265856,16.2,59108.64074637985,2846.0,411,22,43.20965927422842,0.9521822536360218,57.660357066753846,1.5337691256236348,411.7981705728046,21.84473903447337
2724,18256,5254,Ulysses,354.94737964903885,-34.97545947623329,16.3,59099.16813390854,1639.0,404,6,2.056020696576711,0.2878159830945974,57.65980696119186,3.5752896979418063,405.18627777378526,4.601620033857271
2725,28748,5254,Ulysses,353.98329726936976,-35.29031546679169,16.2,59105.61304060059,2414.0,477,13,27.07382317042518,3.6005871363987163,57.65743701768248,12.930149375004088,478.1501738391709,13.339166983045889
2726,18309,5254,Ulysses,354.8997738524882,-34.996180768093,16.3,59099.536186274905,1692.0,412,7,8.601202195922601,0.5043055710665981,57.65738620372815,2.800142496925885,412.9158218494588,5.55195909758295
2727,29254,5254,Ulysses,353.4530524503573,-35.41018187330409,16.2,59109.25878576633,2935.0,398,24,43.34655190010628,3.790190451849006,57.64187069430175,6.039361988969151,398.80591775889513,23.843666859374604
2728,29239,5254,Ulysses,353.46781508547184,-35.40712231322493,16.2,59109.15462185664,2920.0,400,24,39.488462250084936,7.20315243406852,57.631192631095736,10.435829966551951,400.892493529895,23.60429838790948
2729,34348,5254,Ulysses,356.33810466053814,-34.33313532744987,16.3,59088.84927107225,158.0,350,33,28.083143711667034,3.6243984020867663,57.62939440883288,15.732236294126476,351.09531906087545,32.42428759754101
2730,29258,5254,Ulysses,353.44914262356053,-35.41097513928947,16.2,59109.28656280696,2939.0,397,24,32.736498027439254,2.3106536525066645,57.62712940121639,4.260799192984763,398.01198500614703,23.910994049820022
2731,18430,5254,Ulysses,354.77812169404024,-35.050129452980165,16.2,59100.46673464969,1813.0,432,8,11.438793865899571,0.7531964383944993,57.62592739395997,2.00003933507205,432.8367154719717,6.745973353462432
2732,29732,5254,Ulysses,352.9777743736569,-35.50091062425776,16.3,59112.73091031017,3435.0,328,36,41.19421210915916,3.1445082751060687,57.62395753331498,4.930985589844821,328.63634372911577,35.54769929875408
2733,21295,5254,Ulysses,354.24598324241435,-35.22256105146356,16.2,59103.883360479245,2165.0,6,2,51.784841071922266,10.152632752285486,57.59989355561686,10.57156575394512,5.45120594080295,2.38213567681972
2734,29632,5254,Ulysses,353.0712185283346,-35.48380136834796,16.3,59112.02954177806,3334.0,341,33,16.24418387165442,1.6134714545461082,57.59778571243003,8.084003418242002,342.13402402436327,32.94323188422688
2735,35021,5254,Ulysses,355.68341843506107,-34.65168905565589,16.3,59093.620107131625,844.0,240,20,48.49081038217188,11.332854750133151,57.58508030195515,11.595090582078928,240.53901969051267,19.516399709953696
2736,35276,5254,Ulysses,355.44177250670407,-34.76111055499089,16.3,59095.41871052127,1099.0,200,17,36.86270699113986,7.144368856569361,57.58411931848832,11.479408573611632,200.1083385047222,15.965956432384932
2737,29354,5254,Ulysses,353.35556345370765,-35.42981375225724,16.3,59109.95321151757,3035.0,383,26,23.210959392586588,2.860585083287498,57.580014892445526,9.32674737729282,384.2594176031426,25.93139181970869
2738,34691,5254,Ulysses,355.995425491092,-34.50394436927421,16.3,59091.32149939893,514.0,292,26,35.29181930825299,5.713858096970771,57.57655470340819,11.535153172955424,292.8570465886702,25.309435194330025
2739,36000,5254,Ulysses,354.4484031654698,-35.16612461548754,16.2,59102.592264474784,1979.0,39,9,9.39534662167725,0.8908165243378171,57.56709134270861,12.925986421170872,37.90816267865976,7.549143295697697
2740,34847,5254,Ulysses,355.8469509680788,-34.57516781187081,16.3,59092.41177653444,670.0,267,23,36.87988574325625,7.760035106027131,57.56444560116071,11.99921367217724,267.81780637140093,22.29126013088319
2741,35910,5254,Ulysses,354.5501072530266,-35.13566963661875,16.2,59101.96032908972,1888.0,55,8,7.87209243634247,0.7801638422633678,57.558491125836,11.278036008036212,53.73500973041637,6.598901237894779
2742,29071,5254,Ulysses,353.6385406260856,-35.37074698223978,16.2,59107.9602080842,2752.0,425,20,23.93364731586114,3.0575334881376146,57.55758816736426,14.257178155414136,426.3586918206143,19.893612964382115
2743,35016,5254,Ulysses,355.6881066729448,-34.64951849906558,16.3,59093.58538501628,839.0,241,20,53.36423370233247,8.826114222892308,57.55260543757653,9.855408088049876,241.3469406388529,19.595872934078244
2744,29546,5254,Ulysses,353.1527521555131,-35.46873619634506,16.3,59111.4253925112,3247.0,353,31,20.49324493073617,2.1799234684803546,57.53595257210251,10.016500010217769,354.06652359910885,31.205988628496296
2745,29333,5254,Ulysses,353.3759138198972,-35.42578626929517,16.3,59109.8073821538,3014.0,386,26,29.80293529807276,3.3923142645958966,57.52350777709844,11.399799746307018,387.21500030383936,25.63717416342855
2746,34424,5254,Ulysses,356.25125276849974,-34.37728675494612,16.3,59089.46732933006,247.0,336,31,48.02775663911796,7.755227331749299,57.5034891618697,9.849390979661887,336.55003030628137,30.521050472355096
2747,34959,5254,Ulysses,355.7415692205193,-34.62473079484176,16.3,59093.18955278599,782.0,250,21,52.91872455365051,7.724224976972603,57.48150115168116,8.519259485294779,249.9540164970333,20.329583065151954
2748,29002,5254,Ulysses,353.7079185282493,-35.355321211147206,16.2,59107.48105321122,2683.0,436,18,41.188021988428495,6.403761360255852,57.47824144789442,10.234677524500729,436.90813597647855,18.3829501961982
2749,29671,5254,Ulysses,353.03403006035586,-35.49062211520919,16.3,59112.30731150216,3374.0,336,34,36.04081596397201,2.8519193776904768,57.47726421714886,3.905291259782447,336.8897398510002,34.02117476102336
2750,21285,5254,Ulysses,354.2566792940681,-35.219700183209554,16.2,59103.81391724741,2155.0,5,3,33.1729783710481,6.145640563839998,57.44848925352149,14.247177432909051,3.9659897707004688,2.57963718953956
2751,36006,5254,Ulysses,354.4417389292419,-35.1680727332194,16.2,59102.63393049091,1985.0,38,9,9.57293907878152,1.0140263631246913,57.4442486066874,12.1771322354841,36.99059854366529,7.499858569243765
2752,28755,5254,Ulysses,353.9760111887228,-35.2921271096596,16.2,59105.66165065906,2421.0,476,14,34.00658751831445,4.745075558585365,57.44260882097773,11.097370571990332,476.947291025225,13.668956150124698
